Poljanica Bistranska,45.9000,15.8833,Croatia,HR,Zagrebačka Županija,minor,,
Donja Stubica,45.9833,15.9667,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Lepoglava,46.2000,16.0333,Croatia,HR,Varaždinska Županija,minor,,
Goričan,46.3833,16.6833,Croatia,HR,Međimurska Županija,minor,,
Funtana,45.1731,13.6061,Croatia,HR,Istarska Županija,minor,,
Maruševec,46.2889,16.1831,Croatia,HR,Varaždinska Županija,minor,,
Mala Subotica,46.3800,16.5400,Croatia,HR,Međimurska Županija,minor,,
Selnica,46.4961,16.4036,Croatia,HR,Međimurska Županija,minor,,
Tar,45.3008,13.6253,Croatia,HR,Istarska Županija,minor,,
Ðurmanec,46.1964,15.8408,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Ludbreg,46.2500,16.6017,Croatia,HR,Varaždinska Županija,minor,,
Vratišinec,46.4800,16.4600,Croatia,HR,Međimurska Županija,minor,,
Donji Kraljevec,46.3700,16.6500,Croatia,HR,Međimurska Županija,minor,,
Kukljica,44.0350,15.2464,Croatia,HR,Zadarska Županija,minor,,
Špišić-Bukovica,45.8561,17.3000,Croatia,HR,Virovitičko-Podravska Županija,minor,,
Kali,44.0600,15.2100,Croatia,HR,Zadarska Županija,minor,,
Novi Marof,46.1667,16.3333,Croatia,HR,Varaždinska Županija,minor,,
Bilice,43.7753,15.9181,Croatia,HR,Šibensko-Kninska Županija,minor,,
Sinj,43.7000,16.6333,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Zmijavci,43.4108,17.2056,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Krapinske Toplice,46.0919,15.8389,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Zlatar Bistrica,46.0600,16.0700,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Kotoriba,46.3600,16.8200,Croatia,HR,Međimurska Županija,minor,,
Lumbarda,42.9286,17.1714,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
Gornja Stubica,45.9600,16.0300,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Baška Voda,43.3574,16.9491,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Donja Dubrava,46.3147,16.8119,Croatia,HR,Međimurska Županija,minor,,
Sveti Martin na Muri,46.5333,16.3833,Croatia,HR,Međimurska Županija,minor,,
Belica,46.4042,16.5183,Croatia,HR,Međimurska Županija,minor,,
Vodice,43.7506,15.7789,Croatia,HR,Šibensko-Kninska Županija,minor,,
Stubičke Toplice,45.9661,15.9300,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Radoboj,46.1664,15.9236,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Sveti Filip i Jakov,43.9614,15.4248,Croatia,HR,Zadarska Županija,minor,,
